account_number,account_name,invoice_number,invoice_date,sales_order_no,product_code,product_name,class_of_mail,volume,tracking_number,gross_cost,net_cost,source_type,reason_for_non_delivery,date_return_to_sender,date_item_delivered
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000003,TRN,Tracked Returns,Tracked Returns 48,3,BJ338375127GB,33.07666666666667,27.563333333333333,rts,Address incomplete,2026-03-03,
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000003,TRN,Tracked Returns,Tracked Returns 48,3,VR064672076GB,33.07666666666667,27.563333333333333,outbound,,,2026-03-06
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000003,TRN,Tracked Returns,Tracked Returns 48,3,FW629179950GB,33.07666666666667,27.563333333333333,outbound,,,2026-03-06
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000007,TRS,Tracked Returns Signed,Tracked Returns 24,4,AQ644428358GB,8.2725,6.895,rts,Refused by recipient,2026-03-25,
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000007,TRS,Tracked Returns Signed,Tracked Returns 24,4,UJ506473524GB,8.2725,6.895,outbound,,,2026-03-18
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000007,TRS,Tracked Returns Signed,Tracked Returns 24,4,JB841386800GB,8.2725,6.895,outbound,,,2026-03-03
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000007,TRS,Tracked Returns Signed,Tracked Returns 24,4,FW866051072GB,8.2725,6.895,outbound,,,2026-03-30
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000011,TSS,Tracked Small Signed,Tracked 24,1,RB715114139GB,22.82,19.02,outbound,,,2026-03-02
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000012,TPS,Tracked Parcel Signed,Tracked 24,4,JW528145125GB,8.7675,7.3075,outbound,,,2026-03-06
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000012,TPS,Tracked Parcel Signed,Tracked 24,4,TT312753789GB,8.7675,7.3075,outbound,,,2026-03-23
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000012,TPS,Tracked Parcel Signed,Tracked 24,4,AJ327932580GB,8.7675,7.3075,outbound,,,2026-03-30
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000012,TPS,Tracked Parcel Signed,Tracked 24,4,QF153018030GB,8.7675,7.3075,outbound,,,2026-03-04
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000014,TPS,Tracked Parcel Signed,Tracked 24,2,VB716311833GB,35.98,29.985,outbound,,,2026-03-16
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000014,TPS,Tracked Parcel Signed,Tracked 24,2,WV320836937GB,35.98,29.985,outbound,,,2026-03-07
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000019,TRN,Tracked Returns,Tracked Returns 48,2,JU547844271GB,43.42,36.185,outbound,,,2026-03-13
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000019,TRN,Tracked Returns,Tracked Returns 48,2,BJ676083466GB,43.42,36.185,outbound,,,2026-03-24
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000025,TRN,Tracked Returns,Tracked Returns 48,1,VU508753477GB,64.09,53.41,rts,Address incomplete,2026-03-26,
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000031,TRN,Tracked Returns,Tracked Returns 48,4,WB901718584GB,6.07,5.0575,rts,Refused by recipient,2026-03-17,
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000031,TRN,Tracked Returns,Tracked Returns 48,4,UR346160048GB,6.07,5.0575,rts,Refused by recipient,2026-03-29,
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000031,TRN,Tracked Returns,Tracked Returns 48,4,JU367011131GB,6.07,5.0575,rts,Address incomplete,2026-03-28,
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000031,TRN,Tracked Returns,Tracked Returns 48,4,RV966839448GB,6.07,5.0575,outbound,,,2026-03-16
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000033,TRS,Tracked Returns Signed,Tracked Returns 24,2,AT027971406GB,12.2,10.165,outbound,,,2026-03-26
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000033,TRS,Tracked Returns Signed,Tracked Returns 24,2,TV731013259GB,12.2,10.165,rts,Not called for,2026-03-22,
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000038,TPS,Tracked Parcel Signed,Tracked 24,4,RT501336535GB,22.895,19.08,outbound,,,2026-03-04
2684030563,Northwind Apparel Ltd,1969461209,31.03.2026,4500000038,TPS,Tracked Parcel Signed,Tracked 24,4,FA272274568GB,22.895,19.08,outbound,,,2026-03-15
