ACH Withdrawal ID,ACH Withdrawal Amount,EPS Account #,EPS Transaction ID,Transaction Amount,Transaction Date/Time,Transaction Type,EFN,Package Identification Code (PIC),Mail Class,Postage,CRID,Master MID,Permit Number,Permit Type,Permit Finance Number,Reason,Details,Cust Ref Num1,Cust Ref Num2,Dispute ID
600126146287812131,23.54,2684030563,6258250725712,23.72,2026-03-01 00:44:00,SCAN Form Used,78040954577960076935,4335647197791615280044,Priority Mail,23.72,196946120,936725700,869390,PI,696447412,,,ORD-000000,,
798745740698154416,6.70,2684030563,2930981279092,6.34,2026-03-01 07:45:00,Label Purchase,31328393343983579206,2763541425546063107612,First-Class Package Service,6.34,196946120,936725700,869390,IMI,417176062,,,ORD-000001,,
397285208437793537,17.73,2684030563,9448598755437,18.05,2026-03-01 14:58:00,SCAN Form Used,46622006836046155654,6220271650671714456685,Parcel Select Ground,18.05,196946120,936725700,869390,OMAS,123073776,,,ORD-000002,,
912361099971760982,26.20,2684030563,3616825412233,27.88,2026-03-01 21:00:00,Carrier Pickup,81431220160867147962,0219491151180344381731,USPS Ground Advantage,27.88,196946120,936725700,869390,IMI,238232735,,,ORD-000003,,
303971003922821593,28.12,2684030563,1107793877784,25.80,2026-03-02 04:09:00,Label Refund,11765625298377889577,2296049909992957912190,USPS Ground Advantage,25.80,196946120,936725700,869390,PI,051456075,Customer Request,,ORD-000004,,
147592735797328546,20.38,2684030563,3569773111848,20.92,2026-03-02 11:19:00,Label Refund,41907635136856181741,2316935943646342968548,First-Class Package Service,20.92,196946120,936725700,869390,PI,968569039,Customer Request,,ORD-000005,,
495275251828777751,7.88,2684030563,6654863056776,7.85,2026-03-02 18:28:00,Carrier Pickup,07770558650125456366,3829722333135713397845,First-Class Package Service,7.85,196946120,936725700,869390,PI,623285206,,,ORD-000006,,
091345011033375828,11.06,2684030563,7213016959603,10.08,2026-03-03 01:40:00,Shipping Services File,71789212654185068063,3593109919549027729886,Priority Mail,10.08,196946120,936725700,869390,PI,479911357,,,ORD-000007,,
442694160066092111,22.30,2684030563,4569019193348,23.56,2026-03-03 08:44:00,Label Purchase,57803589235477028670,9135862698518965148836,USPS Ground Advantage,23.56,196946120,936725700,869390,OMAS,205030257,,,ORD-000008,,
758671222578546543,14.01,2684030563,8798864696428,14.79,2026-03-03 15:20:00,SCAN Form Used,72949795501936644326,6502874372604706017875,Priority Mail,14.79,196946120,936725700,869390,OMAS,913305468,,,ORD-000009,,
488028513581739571,23.34,2684030563,5408001772986,25.32,2026-03-03 22:21:00,SCAN Form Used,46762622862172718880,6539103922963147130800,Priority Mail,25.32,196946120,936725700,869390,OMAS,762516101,,,ORD-000010,,
072350060689848236,10.86,2684030563,9202239495393,11.95,2026-03-04 05:37:00,Label Refund,57808836754433200579,2454655002295308630591,Priority Mail,11.95,196946120,936725700,869390,IMI,972535962,Customer Request,,ORD-000011,,
491847542936132970,4.61,2684030563,7934045978378,5.05,2026-03-04 12:27:00,Carrier Pickup,24939663396136337827,3354044698380509099186,First-Class Package Service,5.05,196946120,936725700,869390,OMAS,767983222,,,ORD-000012,,
